edge,title
"('r3d100010404', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100010405', 'deu')",WRITTEN_IN
"('r3d100010405', 'eng')",WRITTEN_IN
"('r3d100010405', '3 Natural Sciences')",ABOUT
"('r3d100010405', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100010405', '31302 Oceanography')",ABOUT
"('r3d100010405', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010405', 'atmosphere')",CONTAINS
"('r3d100010405', 'climate indices')",CONTAINS
"('r3d100010405', 'ice and snow')",CONTAINS
"('r3d100010405', 'land')",CONTAINS
"('r3d100010405', 'ocean')",CONTAINS
"('r3d100010405', 're-analyses')",CONTAINS
"('r3d100010405', 'Archived data')",HAS_CONTENT
"('r3d100010405', 'Images')",HAS_CONTENT
"('r3d100010405', 'Scientific and statistical data formats')",HAS_CONTENT
"('r3d100010405', 'Software applications')",HAS_CONTENT
"('r3d100010405', 'Standard office documents')",HAS_CONTENT
"('r3d100010405', 'Structured graphics')",HAS_CONTENT
"('r3d100010405', 'Structured text')",HAS_CONTENT
"('r3d100010405', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100010405', 'serviceProvider')",HAS_PROVIDER_TYPE
"('r3d100010406', 'deu')",WRITTEN_IN
"('r3d100010406', '3 Natural Sciences')",ABOUT
"('r3d100010406', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100010406', '31301 Atmospheric Science')",ABOUT
"('r3d100010406', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010406', 'Beaufort scale')",CONTAINS
"('r3d100010406', 'CEDIM')",CONTAINS
"('r3d100010406', 'clouds')",CONTAINS
"('r3d100010406', 'satellite images')",CONTAINS
"('r3d100010406', 'snowfall')",CONTAINS
"('r3d100010406', 'weather forecasting')",CONTAINS
"('r3d100010406', 'weather records Germany')",CONTAINS
"('r3d100010406', 'weather warning')",CONTAINS
"('r3d100010406', 'Archived data')",HAS_CONTENT
"('r3d100010406', 'Images')",HAS_CONTENT
"('r3d100010406', 'Networkbased data')",HAS_CONTENT
"('r3d100010406', 'Scientific and statistical data formats')",HAS_CONTENT
"('r3d100010406', 'Structured graphics')",HAS_CONTENT
"('r3d100010406', 'Structured text')",HAS_CONTENT
"('r3d100010406', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100010505', 'eng')",WRITTEN_IN
"('r3d100010505', '3 Natural Sciences')",ABOUT
"('r3d100010505', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100010505', '31301 Atmospheric Science')",ABOUT
"('r3d100010505', '31302 Oceanography')",ABOUT
"('r3d100010505', '315 Geophysics and Geodesy')",ABOUT
"('r3d100010505', '318 Water Research')",ABOUT
"('r3d100010505', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010505', 'aerosols')",CONTAINS
"('r3d100010505', 'coastal')",CONTAINS
"('r3d100010505', 'dust')",CONTAINS
"('r3d100010505', 'fire')",CONTAINS
"('r3d100010505', 'geodetic gravity')",CONTAINS
"('r3d100010505', 'hurricanes and storms')",CONTAINS
"('r3d100010505', 'ocean circulation')",CONTAINS
"('r3d100010505', 'ocean seasurface topography OST')",CONTAINS
"('r3d100010505', 'ocean temperature')",CONTAINS
"('r3d100010505', 'ocean winds')",CONTAINS
"('r3d100010505', 'salinity density')",CONTAINS
"('r3d100010505', 'sea surface salinity SSS')",CONTAINS
"('r3d100010505', 'sediments')",CONTAINS
"('r3d100010505', 'see surface temperature SST')",CONTAINS
"('r3d100010505', 'snow and ice')",CONTAINS
"('r3d100010505', 'Databases')",HAS_CONTENT
"('r3d100010505', 'Images')",HAS_CONTENT
"('r3d100010505', 'Plain text')",HAS_CONTENT
"('r3d100010505', 'Raw data')",HAS_CONTENT
"('r3d100010505', 'Scientific and statistical data formats')",HAS_CONTENT
"('r3d100010505', 'Software applications')",HAS_CONTENT
"('r3d100010505', 'Structured graphics')",HAS_CONTENT
"('r3d100010505', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100010519', 'eng')",WRITTEN_IN
"('r3d100010519', '3 Natural Sciences')",ABOUT
"('r3d100010519', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100010519', '31302 Oceanography')",ABOUT
"('r3d100010519', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010519', 'air-sea measurements')",CONTAINS
"('r3d100010519', 'climate')",CONTAINS
"('r3d100010519', 'meteorology')",CONTAINS
"('r3d100010519', 'oceanography')",CONTAINS
"('r3d100010519', 'Plain text')",HAS_CONTENT
"('r3d100010519', 'Raw data')",HAS_CONTENT
"('r3d100010519', 'Scientific and statistical data formats')",HAS_CONTENT
"('r3d100010519', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100010588', 'eng')",WRITTEN_IN
"('r3d100010588', 'zho')",WRITTEN_IN
"('r3d100010588', '3 Natural Sciences')",ABOUT
"('r3d100010588', '311 Astrophysics and Astronomy')",ABOUT
"('r3d100010588', '315 Geophysics and Geodesy')",ABOUT
"('r3d100010588', '32 Physics')",ABOUT
"('r3d100010588', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010588', '4 Engineering Sciences')",ABOUT
"('r3d100010588', '404 Heat Energy Technology, Thermal Machines, Fluid Mechanics')",ABOUT
"('r3d100010588', '42 Thermal Engineering/Process Engineering')",ABOUT
"('r3d100010588', 'agriculture')",CONTAINS
"('r3d100010588', 'agrology')",CONTAINS
"('r3d100010588', 'area studies')",CONTAINS
"('r3d100010588', 'astronomy')",CONTAINS
"('r3d100010588', 'atmosphere')",CONTAINS
"('r3d100010588', 'cartology')",CONTAINS
"('r3d100010588', 'climate')",CONTAINS
"('r3d100010588', 'commerce')",CONTAINS
"('r3d100010588', 'earth sciences')",CONTAINS
"('r3d100010588', 'ecology')",CONTAINS
"('r3d100010588', 'environment')",CONTAINS
"('r3d100010588', 'forestry')",CONTAINS
"('r3d100010588', 'geochemistry')",CONTAINS
"('r3d100010588', 'geography')",CONTAINS
"('r3d100010588', 'geoinformatics')",CONTAINS
"('r3d100010588', 'geology')",CONTAINS
"('r3d100010588', 'geophysics')",CONTAINS
"('r3d100010588', 'hydrology')",CONTAINS
"('r3d100010588', 'industry')",CONTAINS
"('r3d100010588', 'infrastructure')",CONTAINS
"('r3d100010588', 'mineralogy')",CONTAINS
"('r3d100010588', 'natural resources')",CONTAINS
"('r3d100010588', 'oceanography')",CONTAINS
"('r3d100010588', 'outerspace')",CONTAINS
"('r3d100010588', 'plants')",CONTAINS
"('r3d100010588', 'seismology')",CONTAINS
"('r3d100010588', 'social development')",CONTAINS
"('r3d100010588', 'social population')",CONTAINS
"('r3d100010588', 'survey')",CONTAINS
"('r3d100010588', 'transport')",CONTAINS
"('r3d100010588', 'water')",CONTAINS
"('r3d100010588', 'wildlife')",CONTAINS
"('r3d100010588', 'Databases')",HAS_CONTENT
"('r3d100010588', 'Images')",HAS_CONTENT
"('r3d100010588', 'Standard office documents')",HAS_CONTENT
"('r3d100010588', 'Structured graphics')",HAS_CONTENT
"('r3d100010588', 'other')",HAS_CONTENT
"('r3d100010588', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100010606', 'eng')",WRITTEN_IN
"('r3d100010606', '2 Life Sciences')",ABOUT
"('r3d100010606', '201 Basic Biological and Medical Research')",ABOUT
"('r3d100010606', '20102 Biophysics')",ABOUT
"('r3d100010606', '203 Zoology')",ABOUT
"('r3d100010606', '20302 Evolution, Anthropology')",ABOUT
"('r3d100010606', '20305 Biochemistry and Animal Physiology')",ABOUT
"('r3d100010606', '21 Biology')",ABOUT
"('r3d100010606', 'biodiversity')",CONTAINS
"('r3d100010606', 'ecological system')",CONTAINS
